# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	grw%	A1	A5	A6	A7	B1	B2	CONCEPT
Evergreen	Macorner	82	260	29.95	517	3	1	3	1	0	3	check-ya-energy-3d-family-version-personalized-doormat-pan
Evergreen	Macorner	82	251	27.95	517	3	1	3	1	0	3	cookie-crew-custom-gingerbread-letter-with-name-for-family-k
Evergreen	Macorner	82	198	39.95	611	3	3	1	2	0	3	i-love-your-face-especially-when-its-between-my-legs-persona
Evergreen	Macorner	82	198	36.95	521	3	3	1	2	0	3	i-love-your-face-especially-when-its-between-my-legs-naughty
Evergreen	Macorner	82	222	17.95	517	3	2	3	0	0	3	family-adventures-personalized-rv-decal-cam
Evergreen	Macorner	82	247	n/a	521	3	1	3	1	0	3	christmas-ornaments-family-christmas-jar-custom-name-persona
Evergreen	PFG	80	82	24.0	1846	2	3	3	0	1	3	gamer-dad-cooler-custom-action-figure-acrylic-block-plaque-f
Evergreen	PFG	80	94	24.0	1846	3	3	2	0	0	3	seagull-mom-mom-mom-custom-name-shirt-funny-mothers-day-gift
Evergreen	PFG	80	82	24.0	1846	2	3	3	0	1	3	couple-warning-caution-we-bought-the-drink-package-acrylic-f
Evergreen	Macorner	80	309	16.95	611	3	3	2	0	0	3	friends-like-star-thank-you-gifts-for-friends-sisters-person
Evergreen	Macorner	80	211	29.99	159	3	2	2	1	0	3	rise-and-shine-mother-cluckers-personalized-vintage-metal-si
Evergreen	Macorner	80	236	24.95	611	3	3	2	0	0	3	drive-safe-i-f-cking-love-you-personalized-wooden-car-visor-
Evergreen	Macorner	80	282	16.95	521	3	3	2	0	0	3	the-b-tches-times-heres-to-another-year-of-us-laughing-at-ou
Evergreen	Macorner	80	270	29.95	517	3	2	2	1	0	3	kid-birth-flower-god-says-i-am-personalized-pillow-insert-in
Evergreen	Macorner	80	312	19.95	517	3	3	2	0	0	3	we-never-walk-alone-personalized-ceramic-ornament-fri
Evergreen	Macorner	80	98	19.95	611	3	3	2	0	0	3	spread-those-pages-personalized-resin-book-page-holder-boo
Evergreen	Macorner	80	236	24.95	611	3	3	2	0	0	3	drive-safe-valentines-day-gifts-for-husband-boyfriend-person
Evergreen	Macorner	80	117	24.95	521	3	3	2	0	0	3	custom-name-with-naughty-funny-gifts-for-coworkers-friends-w
Evergreen	PFG	78	239	24.0	1846	3	1	3	0	0	3	snowman-grandma-and-grandkids-light-box-christmas-gift-for-g
Evergreen	PFG	78	94	24.0	1846	3	1	3	0	0	3	grandma-grandkids-hugging-acrylic-fridge-magnet-mothers-day-
Evergreen	PFG	78	118	24.0	1846	3	1	3	0	0	3	from-mom-to-daughter-watching-you-be-a-mom-poster-mothers-da
Evergreen	PFG	78	259	24.0	1846	3	1	3	0	0	3	3d-effect-cute-snowman-light-boxes-christmas-decor-for-famil
Evergreen	Macorner	78	198	29.95	521	3	3	1	1	0	3	to-do-list-naughty-couple-valentines-day-anniversary-gift-fo
Evergreen	Macorner	78	215	25.95	521	3	3	1	1	0	3	vintage-monogram-for-guitarist-guitar-lover-personalized-gui
Evergreen	Macorner	78	37	31.95	611	1	3	3	1	2	3	custom-couple-photo-sketch-line-art-anniversary-gift-for-him
Evergreen	Macorner	78	256	29.95	521	3	3	1	1	0	3	funny-sarcastic-notebook-coworker-gag-gifts-white-elephant-e
Evergreen	Macorner	78	258	n/a	521	3	3	1	1	0	3	favorite-concert-ticket-music-lovers-gifts-for-daughters-fri
Evergreen	Macorner	78	56	31.95	159	1	3	3	1	2	3	welcome-pet-portrait-watercolor-art-welcome-mat-personalized
Evergreen	Macorner	78	181	26.95	611	3	3	1	1	0	3	remember-i-love-you-gift-for-her-gift-for-him-personalized-s
Evergreen	Macorner	78	55	31.95	159	1	3	3	1	2	3	custom-pet-portrait-watercolor-striped-pattern-personalized-
Evergreen	Macorner	78	32	31.95	159	1	3	3	1	2	3	custom-pet-portrait-name-watercolor-style-personalized-tote-
Evergreen	Macorner	78	56	34.95	611	1	3	3	1	2	3	big-btt-funny-naughty-personalized-mouse-pad-mavg61l4h
Evergreen	PFG	76	250	24.0	1846	3	2	2	0	0	3	volleyball-girl-3d-effect-acrylic-ornament
Evergreen	Macorner	76	224	24.95	611	3	2	2	0	0	3	name-in-runes-viking-personalized-shirt-sgt
Evergreen	Macorner	76	239	n/a	517	3	1	2	1	0	3	collections/holiday-deals
Evergreen	Macorner	76	123	26.95	611	3	1	2	1	0	3	preschool-kindergarten-graduation-personalized-graduation-st
Evergreen	PFG	73	96	24.99	1846	3	3	1	0	0	3	seagull-mom-mom-mom-shirt-funny-mothers-day-gift-for-mom
Evergreen	PFG	73	96	24.0	1846	3	3	1	0	0	3	silence-is-golden-unless-you-have-kids-seagull-mom-mom-mom-m
Evergreen	Macorner	73	92	29.95	611	3	2	1	1	0	3	fatherhood-is-kingdom-work-personalized-shirt-magbvnml6
Evergreen	Macorner	73	278	22.95	159	3	3	1	0	0	3	a-girl-her-dogs-has-unbreakable-bond-personalized-mug-dog
