# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	#activeCreatives	A1	A4	A5	A6	A7	B1	B2	CONCEPT
Evergreen	Macorner	76	97	19.95	2	3	2	3	2	0	0	1	spread-those-pages-personalized-resin-book-page-holder-boo
Evergreen	Macorner	76	101	29.95	1	3	1	3	2	1	0	0	custom-birth-flower-name-for-her-coworkers-friends-teacher-p
Evergreen	Macorner	76	116	29.95	1	3	1	3	2	1	0	0	custom-birth-flower-name-for-her-wife-daughter-sister-person
Evergreen	Macorner	76	276	29.95	1	3	1	3	2	1	0	0	collections/best-sellers/products/dog-lover-gift-dog-breeds-
Evergreen	PFG	73	93	24.0	1	3	1	2	3	0	0	0	starry-night-custom-birth-moon-phase-the-days-you-became-our
Evergreen	PFG	73	93	24.0	3	3	2	1	3	0	0	1	grandma-grandkids-hugging-acrylic-fridge-magnet-mothers-day-
Evergreen	PFG	73	95	24.99	9	3	3	3	1	0	0	3	seagull-mom-mom-mom-shirt-funny-mothers-day-gift-for-mom
Evergreen	PFG	73	294	27.99	1	3	1	1	3	1	0	0	3d-effect-cute-snowman-light-box-christmas-decor-for-family-
Evergreen	PFG	73	117	24.0	1	3	1	2	3	0	0	0	favorite-people-call-me-grandma-word-search-puzzle-shirt-mot
Evergreen	PFG	73	188	24.0	1	3	1	2	3	0	0	0	im-not-retired-im-a-professional-grandma-of-cute-grandkids-s
Evergreen	PFG	73	93	24.0	1	3	1	2	3	0	0	0	we-caught-the-best-mom-baseball-dugout-2layered-wooden-plaqu
Evergreen	PFG	73	188	24.0	1	3	1	2	3	0	0	0	our-moon-special-day-custom-moon-phase-crystal-ball-led-nigh
Evergreen	PFG	73	93	24.0	1	3	1	2	3	0	0	0	to-my-daughter-mom-and-daughter-holding-hands-custom-kids-na
Evergreen	Macorner	73	197	29.95	3	3	2	3	1	1	0	1	to-do-list-naughty-couple-valentines-day-anniversary-gift-fo
Evergreen	Macorner	73	283	26.95	1	3	1	1	3	1	0	0	custom-gingerbread-letter-with-name-for-family-kids-personal
Evergreen	Macorner	73	259	29.95	1	3	1	1	3	1	0	0	check-ya-energy-3d-family-version-personalized-doormat-pan
Evergreen	Macorner	73	250	27.95	1	3	1	1	3	1	0	0	cookie-crew-custom-gingerbread-letter-with-name-for-family-k
Evergreen	Macorner	73	197	39.95	1	3	1	3	1	2	0	0	i-love-your-face-especially-when-its-between-my-legs-persona
Evergreen	Macorner	73	197	36.95	1	3	1	3	1	2	0	0	i-love-your-face-especially-when-its-between-my-legs-naughty
Evergreen	Macorner	73	221	17.95	1	3	1	2	3	0	0	0	family-adventures-personalized-rv-decal-cam
Evergreen	Macorner	73	246	n/a	1	3	1	1	3	1	0	0	christmas-ornaments-family-christmas-jar-custom-name-persona
Evergreen	PFG	71	93	24.0	4	3	3	1	2	0	0	2	we-caught-the-best-mom-poster-heartfelt-mothers-day-gift-for
Evergreen	Macorner	71	308	16.95	1	3	1	3	2	0	0	0	friends-like-star-thank-you-gifts-for-friends-sisters-person
Evergreen	Macorner	71	235	24.95	1	3	1	3	2	0	0	0	drive-safe-i-f-cking-love-you-personalized-wooden-car-visor-
Evergreen	Macorner	71	281	16.95	1	3	1	3	2	0	0	0	the-b-tches-times-heres-to-another-year-of-us-laughing-at-ou
Evergreen	Macorner	71	269	29.95	1	3	1	2	2	1	0	0	kid-birth-flower-god-says-i-am-personalized-pillow-insert-in
Evergreen	Macorner	71	311	19.95	1	3	1	3	2	0	0	0	we-never-walk-alone-personalized-ceramic-ornament-fri
Evergreen	Macorner	71	235	24.95	1	3	1	3	2	0	0	0	drive-safe-valentines-day-gifts-for-husband-boyfriend-person
Evergreen	Macorner	71	116	24.95	1	3	1	3	2	0	0	0	custom-name-with-naughty-funny-gifts-for-coworkers-friends-w
Evergreen	Macorner	71	60	19.95	15	2	3	1	3	0	1	3	its-not-a-dad-bod-its-a-father-figure-funny-fathers-day-gift
Evergreen	PFG	69	117	24.0	1	3	1	1	3	0	0	0	from-mom-to-daughter-watching-you-be-a-mom-poster-mothers-da
Evergreen	PFG	69	95	24.0	2	3	2	3	1	0	0	1	silence-is-golden-unless-you-have-kids-seagull-mom-mom-mom-m
Evergreen	PFG	69	258	24.0	1	3	1	1	3	0	0	0	3d-effect-cute-snowman-light-boxes-christmas-decor-for-famil
Evergreen	Macorner	69	214	25.95	1	3	1	3	1	1	0	0	vintage-monogram-for-guitarist-guitar-lover-personalized-gui
Evergreen	Macorner	69	255	29.95	1	3	1	3	1	1	0	0	funny-sarcastic-notebook-coworker-gag-gifts-white-elephant-e
Evergreen	Macorner	69	257	n/a	1	3	1	3	1	1	0	0	favorite-concert-ticket-music-lovers-gifts-for-daughters-fri
Evergreen	Macorner	69	91	29.95	3	3	2	2	1	1	0	1	fatherhood-is-kingdom-work-personalized-shirt-magbvnml6
Evergreen	Macorner	69	277	22.95	2	3	2	3	1	0	0	1	a-girl-her-dogs-has-unbreakable-bond-personalized-mug-dog
Evergreen	Macorner	69	89	33.95	1	2	1	3	2	1	1	0	best-dad-ever-new-version-fathers-day-gift-for-dad-husband-g
Evergreen	Macorner	69	180	26.95	1	3	1	3	1	1	0	0	remember-i-love-you-gift-for-her-gift-for-him-personalized-s
Evergreen	PFG	67	249	24.0	1	3	1	2	2	0	0	0	volleyball-girl-3d-effect-acrylic-ornament
Evergreen	Macorner	67	122	19.95	2	3	2	1	2	0	0	1	graduation-walking-beside-you-every-step-personalized-lapel-
Evergreen	Macorner	67	223	24.95	1	3	1	2	2	0	0	0	name-in-runes-viking-personalized-shirt-sgt
Evergreen	Macorner	67	24	18.95	6	0	3	3	3	0	3	2	custom-pet-portrait-watercolor-gifts-for-pet-owners-personal
Evergreen	Macorner	67	122	26.95	1	3	1	1	2	1	0	0	preschool-kindergarten-graduation-personalized-graduation-st
Evergreen	Macorner	64	254	24.95	1	3	1	3	1	0	0	0	boss-pain-in-the-asses-funny-boss-gift-personalized-mug-cow
Evergreen	PFG	62	238	24.0	1	3	1	1	2	0	0	0	class-of-2025-2026-3d-effect-senior-acrylic-ornament-christm
Evergreen	PFG	62	46	24.0	3	1	2	3	2	0	2	1	besties-forever-pinky-promise-2d-flat-2layered-wooden-plaque
Evergreen	PFG	62	31	22.99	8	1	3	2	2	0	2	3	teacher-beautiful-crayon-color-welcome-to-classroom-happy-le
Evergreen	PFG	62	117	24.0	1	3	1	1	2	0	0	0	grandpa-warning-may-nap-suddenly-at-any-time-funny-fathers-d
Evergreen	PFG	62	71	27.99	2	2	2	2	1	1	1	1	grandpa-fist-bump-nation-flag-classic-cap
Evergreen	PFG	62	37	24.0	2	1	2	3	2	0	2	1	this-is-my-happy-place-dont-ruin-it-sewing-girl-metal-sign-c
Evergreen	Macorner	60	3	39.95	1	0	1	3	2	2	3	0	i-love-your-face-especially-when-its-between-my-legs-naughty
Evergreen	Macorner	60	6	39.95	1	0	1	3	2	2	3	0	my-favorite-place-in-all-the-world-is-next-to-you-personaliz
Evergreen	PFG	58	53	24.0	1	1	1	3	2	0	2	0	together-forever-couple-anniversary-2layered-wooden-plaque-h
Evergreen	PFG	58	43	24.0	2	1	2	2	2	0	2	1	this-is-my-happy-place-metal-sign-funny-sarcasm-decoration-f
Evergreen	PFG	58	46	24.0	1	1	1	3	2	0	2	0	interlocked-hearts-couple-2layered-wooden-plaque-gift-for-hi
Evergreen	PFG	58	36	24.0	1	1	1	3	2	0	2	0	floral-besties-forever-friends-forever-2layered-wooden-plaqu
Evergreen	Macorner	58	68	29.95	3	2	2	1	1	1	1	1	fathers-day-gift-father-of-mayhem-personalized-shirt-mas89qf
Evergreen	PFG	56	83	24.0	1	2	1	1	2	0	1	0	to-my-son-from-mom-happy-fathers-day-poster
Evergreen	PFG	56	19	24.0	2	0	2	3	2	0	3	1	till-death-do-us-part-skeleton-couple-2layered-wooden-plaque
Evergreen	Macorner	56	42	27.95	1	1	1	3	1	1	2	0	just-a-girl-who-loves-books-personalized-sweatpants-boo
Evergreen	PFG	53	71	24.0	2	2	2	1	1	0	1	1	to-my-son-from-mom-happy-fathers-day-back-view-mug
Evergreen	Macorner	53	18	29.95	2	0	2	3	1	1	3	1	i-fix-sht-thats-what-i-do-funny-gifts-for-men-husband-dad-gr
Evergreen	PFG	51	23	24.0	1	0	1	3	2	0	3	0	psnl-babys-first-christmas-on-the-inside-ornament-custom-pre
Evergreen	PFG	51	34	24.0	1	1	1	3	1	0	2	0	funny-teacher-life-happy-school-supplies-friends-shirt-back-
