product_url	concept_label	lead_domain	sum_countActive	distinct_sellers	max_days	top_started	price	countries	n_ad_records
https://wanderprints.com/products/custom-photo-if-found-return-to-this-guy-gift-for-dad-father-grandpa-golfer-golf-lover-personalized-golf-ball	custom photo if found return to this guy	great-family-shop.myshopify.com	1	1	866	2024-03-21	16.95	AU,US,CA	1
https://wanderprints.com/products/proud-father-of-a-few-funny-gift-for-dad-father-grandpa-personalized-t-shirt	proud father of a few funny gift for	great-family-shop.myshopify.com	1	1	861	2024-03-26	24.99	CA,US	1
https://wanderprints.com/ta361ele2901-fbf	Beautiful Gift For Mom And Grandma	great-family-shop.myshopify.com	10	1	861	2024-03-26	22.95	US	2
https://wanderprints.com/tr171hal2056-fbf	Thoughtful Gift For Mom	great-family-shop.myshopify.com	10	1	861	2024-03-26	20.99	AU,US	2
https://wanderprints.com/products/if-love-could-have-saved-you-memorial-gift-for-pet-lovers-dog-mom-dog-dad-cat-mom-cat-dad-personalized-acrylic-car-hanger	if love could have saved you memorial gift	great-family-shop.myshopify.com	3	1	861	2024-03-26	19.95	US,AU	1
https://wanderprints.com/products/to-my-granddaughter-gift-for-granddaughter-grandparents-gift-personalized-pillow	to my granddaughter gift for granddaughter grandparents gift	great-family-shop.myshopify.com	1	1	860	2024-03-27	25.95	US,AU,CA	1
https://wanderprints.com/products/dear-mom-great-job-we-re-awesome-thank-you-young-birthday-loving-gift-for-mother-grandma-grandmother-personalized-custom-t-shirt	dear mom great job we re awesome thank	great-family-shop.myshopify.com	3	1	859	2024-03-28	24.99	AU,US,CA	1
https://wanderprints.com/products/no-returns-or-refunds-chibi-grandkids-funny-gift-for-dad-mom-grandma-grandpa-personalized-mug	no returns or refunds chibi grandkids funny gift	great-family-shop.myshopify.com	3	1	851	2024-04-05	19.99	US	1
https://wanderprints.com/na345hel975-fbr	shortcode:na345hel975-fbr	great-family-shop.myshopify.com	1	1	850	2024-04-06	21.95	US	1
https://wanderprints.com/collections/pet-lovers	Wander Prints Home Decor	great-family-shop.myshopify.com	2	1	844	2024-04-12		US,CA,AU	1
https://wanderprints.com/products/moms-grandmas-sweethearts-gift-for-mother-grandmother-personalized-leather-bag	moms grandmas sweethearts gift for mother grandmother personalized	great-family-shop.myshopify.com	1	1	832	2024-04-24	45.95	CA,US,AU	1
https://wanderprints.com/products/the-legend-has-retired-vintage-retirement-gift-for-beach-lovers-dad-mom-grandpa-grandma-personalized-t-shirt	the legend has retired vintage retirement gift for	great-family-shop.myshopify.com	1	1	823	2024-05-03	24.99	US,CA	1
